date,open,high,low,close,volume,average,barCount
2026-02-10 09:15:00,5079.6,5098.3,5079.6,5095.3,1384.0,5090.64,1027
2026-02-10 09:20:00,5094.8,5096.3,5090.8,5090.8,670.0,5094.04,476
2026-02-10 09:25:00,5090.8,5096.7,5090.0,5093.9,567.0,5093.32,416
2026-02-10 09:30:00,5093.5,5102.7,5091.2,5098.6,1182.0,5098.09,893
2026-02-10 09:35:00,5099.2,5099.9,5080.7,5086.1,1103.0,5088.16,818
2026-02-10 09:40:00,5086.0,5088.0,5076.8,5079.6,1019.0,5080.85,767
2026-02-10 09:45:00,5080.0,5080.6,5043.2,5053.2,3297.0,5058.39,2245
2026-02-10 09:50:00,5053.4,5064.0,5052.6,5063.2,1042.0,5058.39,808
2026-02-10 09:55:00,5064.0,5069.5,5060.5,5063.0,1021.0,5064.97,677
2026-02-10 10:00:00,5062.0,5062.0,5051.4,5057.5,1436.0,5055.71,983
2026-02-10 10:05:00,5057.3,5065.9,5055.8,5065.0,1211.0,5060.9,813
2026-02-10 10:10:00,5064.5,5066.4,5059.6,5065.6,461.0,5063.82,359
2026-02-10 10:15:00,5064.8,5065.5,5058.4,5064.1,454.0,5061.74,353
2026-02-10 10:20:00,5064.5,5070.9,5062.5,5068.0,445.0,5067.7,347
2026-02-10 10:25:00,5067.9,5069.7,5055.0,5055.1,701.0,5062.54,477
2026-02-10 10:30:00,5054.3,5060.0,5049.3,5055.4,844.0,5055.25,636
2026-02-10 10:35:00,5055.4,5055.4,5021.3,5030.8,3009.0,5035.06,2160
2026-02-10 10:40:00,5031.0,5043.0,5030.4,5036.7,1278.0,5037.52,904
2026-02-10 10:45:00,5036.4,5051.2,5034.2,5048.9,829.0,5043.42,627
2026-02-10 10:50:00,5048.3,5050.9,5040.7,5049.6,602.0,5046.85,444
2026-02-10 10:55:00,5049.5,5053.6,5039.1,5041.6,715.0,5045.92,545
2026-02-10 11:00:00,5042.7,5044.1,5035.0,5036.8,774.0,5039.47,531
2026-02-10 11:05:00,5035.6,5040.0,5028.8,5036.3,762.0,5035.12,547
2026-02-10 11:10:00,5036.8,5045.8,5036.8,5043.6,459.0,5041.42,369
2026-02-10 11:15:00,5043.7,5047.3,5038.6,5041.1,453.0,5043.45,372
2026-02-10 11:20:00,5040.5,5041.1,5031.4,5035.0,920.0,5035.35,682
2026-02-10 11:25:00,5034.8,5041.2,5028.2,5033.1,632.0,5035.13,490
2026-02-10 11:30:00,5032.4,5044.1,5031.0,5041.1,664.0,5039.39,432
2026-02-10 11:35:00,5041.7,5046.4,5040.8,5042.4,216.0,5043.23,176
2026-02-10 11:40:00,5042.6,5045.0,5036.8,5045.0,253.0,5040.25,221
2026-02-10 11:45:00,5045.1,5049.7,5040.2,5040.3,409.0,5045.7,342
2026-02-10 11:50:00,5040.9,5046.3,5038.8,5044.0,328.0,5042.02,261
2026-02-10 11:55:00,5042.3,5047.5,5042.3,5046.5,200.0,5045.42,159
2026-02-10 12:00:00,5046.4,5050.5,5045.7,5048.5,389.0,5048.48,314
2026-02-10 12:05:00,5049.0,5050.4,5043.6,5046.0,299.0,5046.79,243
2026-02-10 12:10:00,5046.2,5050.0,5043.7,5047.6,309.0,5046.56,220
2026-02-10 12:15:00,5047.9,5058.0,5047.3,5055.8,540.0,5053.8,382
2026-02-10 12:20:00,5055.7,5057.5,5053.0,5057.5,211.0,5055.33,164
2026-02-10 12:25:00,5057.3,5062.0,5056.0,5060.0,453.0,5059.63,313
2026-02-10 12:30:00,5060.0,5060.8,5056.8,5060.1,322.0,5058.77,246
